Sample	Length	Site	End	Offset	Count
SRR1944912	33	TTS	5p-end	-22	16
SRR1944912	25	TTS	5p-end	-21	16
SRR1944912	26	TTS	5p-end	-21	27
SRR1944912	27	TTS	5p-end	-21	65
SRR1944912	28	TTS	5p-end	-21	747
SRR1944912	29	TTS	5p-end	-21	5541
SRR1944912	30	TTS	5p-end	-21	9565
SRR1944912	31	TTS	5p-end	-21	3544
SRR1944912	32	TTS	5p-end	-21	226
SRR1944912	33	TTS	5p-end	-21	31
SRR1944912	25	TTS	5p-end	-20	33
SRR1944912	26	TTS	5p-end	-20	12
SRR1944912	27	TTS	5p-end	-20	44
SRR1944912	28	TTS	5p-end	-20	195
SRR1944912	29	TTS	5p-end	-20	736
SRR1944912	30	TTS	5p-end	-20	3258
SRR1944912	31	TTS	5p-end	-20	3289
SRR1944912	32	TTS	5p-end	-20	2069
SRR1944912	33	TTS	5p-end	-20	179
SRR1944912	25	TTS	5p-end	-19	7
SRR1944912	26	TTS	5p-end	-19	10
SRR1944912	27	TTS	5p-end	-19	59
SRR1944912	28	TTS	5p-end	-19	169
SRR1944912	29	TTS	5p-end	-19	4862
SRR1944912	30	TTS	5p-end	-19	7858
SRR1944912	31	TTS	5p-end	-19	6123
SRR1944912	32	TTS	5p-end	-19	1371
SRR1944912	33	TTS	5p-end	-19	7
SRR1944912	25	TTS	5p-end	-18	6
SRR1944912	26	TTS	5p-end	-18	42
SRR1944912	27	TTS	5p-end	-18	127
SRR1944912	28	TTS	5p-end	-18	1827
SRR1944912	29	TTS	5p-end	-18	5825
SRR1944912	30	TTS	5p-end	-18	7076
SRR1944912	31	TTS	5p-end	-18	3262
SRR1944912	32	TTS	5p-end	-18	280
SRR1944912	33	TTS	5p-end	-18	27
SRR1944912	25	TTS	5p-end	-17	12
SRR1944912	26	TTS	5p-end	-17	43
SRR1944912	27	TTS	5p-end	-17	50
SRR1944912	28	TTS	5p-end	-17	216
SRR1944912	29	TTS	5p-end	-17	560
SRR1944912	30	TTS	5p-end	-17	2102
SRR1944912	31	TTS	5p-end	-17	3328
SRR1944912	32	TTS	5p-end	-17	1864
SRR1944912	33	TTS	5p-end	-17	181
SRR1944912	25	TTS	5p-end	-16	14
SRR1944912	26	TTS	5p-end	-16	28
SRR1944912	27	TTS	5p-end	-16	55
SRR1944912	28	TTS	5p-end	-16	181
SRR1944912	29	TTS	5p-end	-16	3144
SRR1944912	30	TTS	5p-end	-16	9167
SRR1944912	31	TTS	5p-end	-16	6574
SRR1944912	32	TTS	5p-end	-16	713
SRR1944912	33	TTS	5p-end	-16	17
SRR1944912	25	TTS	5p-end	-15	16
SRR1944912	26	TTS	5p-end	-15	28
