transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001348844.1	24.0	14.0	43.0	35.0	29.0	30.0
NM_001179435.3	107.0	99.0	138.0	125.0	135.0	271.0
NM_001179436.1	975.0	925.0	1351.0	1054.0	1014.0	1586.0
NM_001179437.1	138.0	102.0	146.0	140.0	140.0	196.0
NM_001179438.1	622.0	583.0	709.0	815.0	713.0	1048.0
NM_001179439.1	879.0	802.0	1271.0	1075.0	1177.0	1979.0
NM_001179440.3	201.0	193.0	281.0	177.0	254.0	357.0
NM_001179441.3	268.0	268.0	401.0	277.0	324.0	541.0
NM_001179442.1	2792.0	2618.0	3845.0	3402.0	3131.0	5450.0
NM_001179443.1	451.0	373.0	499.0	491.0	505.0	668.0
NM_001179444.1	246.0	177.0	464.0	231.0	355.0	602.0
NM_001179445.1	97.0	110.0	216.0	128.0	198.0	293.0
NM_001179446.3	102.0	97.0	189.0	96.0	141.0	338.0
NM_001179447.3	30.0	31.0	41.0	39.0	36.0	61.0
NM_001179449.1	126.0	136.0	155.0	140.0	150.0	226.0
NM_001179450.1	5.0	4.0	5.0	4.0	2.0	12.0
NM_001184686.1	80.0	69.0	88.0	70.0	82.0	100.0
NM_001179451.1	635.0	526.0	941.0	767.0	841.0	1446.0
NM_001179452.3	393.0	359.0	602.0	484.0	544.0	899.0
NM_001179453.1	611.0	475.0	742.47	617.0	730.0	1060.82
NM_001270750.1	0.0	0.0	7.53	0.0	0.0	14.18
NM_001179454.1	366.0	394.0	524.0	510.0	553.0	769.0
NM_001179455.1	311.0	246.0	442.0	338.0	361.0	548.0
NM_001179456.1	606.0	582.0	695.0	935.0	825.0	1212.0
NM_001179457.3	2861.0	2970.0	4146.0	4038.0	3398.0	5057.0
NM_001179458.1	717.0	602.0	931.0	733.0	848.0	1454.0
NM_001179459.1	244.0	305.0	414.0	294.0	345.0	617.0
NM_001179460.1	469.0	454.0	826.0	611.0	642.0	1146.0
NM_001179461.1	56.0	82.0	94.0	94.0	83.0	140.0
NM_001179462.3	354.0	352.0	519.0	489.0	437.0	806.0
NM_001179463.1	876.0	868.0	1546.0	1235.0	1161.0	1913.0
NM_001179464.1	1150.0	1047.0	1357.0	1293.0	1320.0	1975.0
NM_001179465.1	388.0	392.0	553.0	658.0	708.0	1264.0
NM_001179466.1	808.0	795.0	1074.0	808.0	907.0	1646.0
NM_001179467.3	159.0	150.0	266.0	212.0	227.0	293.0
NM_001179468.1	183.0	158.0	253.0	193.0	202.0	337.0
NM_001179469.1	1097.0	1064.0	1280.0	1090.0	1067.0	1705.0
NM_001179470.1	66.0	51.0	94.0	107.0	113.0	127.0
NM_001179471.2	2360.0	3063.0	3094.0	2663.0	2112.0	3455.0
NM_001179472.3	972.0	990.0	1305.0	1226.0	1300.0	2077.0
NM_001179473.1	435.0	512.0	686.0	650.0	551.0	950.0
NM_001179474.1	426.0	423.0	781.0	543.0	571.0	1138.0
NM_001179475.1	328.0	230.0	506.0	246.0	370.0	809.0
NM_001179476.1	748.0	701.0	1168.0	925.0	888.0	1495.0
NM_001179477.3	691.0	805.0	1320.0	1124.0	867.0	1513.0
NM_001179478.1	554.0	421.0	701.0	744.0	777.0	945.0
NM_001179479.1	575.0	474.0	781.0	616.0	643.0	918.0
NM_001179480.1	97.0	94.0	95.0	87.0	80.0	132.0
NM_001179481.1	6658.53	6988.92	10273.02	6923.2	6238.85	13536.51
NM_001184555.1	9.0	4.0	8.0	11.0	18.0	17.0
NM_001179482.3	242.0	235.0	315.0	258.0	287.0	492.0
NM_001179483.1	412.0	411.0	543.0	621.0	595.0	753.0
NM_001179484.1	183.0	216.0	238.0	232.0	243.0	373.0
NM_001179485.1	966.0	996.0	1508.0	1390.0	1136.0	1618.0
NM_001179486.3	541.0	700.0	964.0	487.0	633.0	1206.0
NM_001179487.1	198.0	146.0	261.0	179.0	207.0	388.0
NM_001179488.1	729.0	800.0	895.0	984.0	900.0	1159.0
NM_001179490.1	2466.0	2456.0	3648.0	3172.0	2759.0	4811.0
NM_001179491.1	717.0	759.0	994.0	1017.0	978.0	1311.0
NM_001179492.3	179.0	149.0	301.0	207.0	228.0	476.0
NM_001179493.1	910.0	962.0	1337.0	1136.0	1081.0	1808.0
NM_001179494.1	176.0	170.0	245.0	234.0	187.0	273.0
NM_001179495.1	658.0	620.0	1004.0	735.0	799.0	1052.0
NM_001179496.1	15064.43	14908.37	23082.66	14120.32	14000.8	29375.4
NM_001179497.3	416.0	340.0	811.0	444.0	535.0	1078.0
NM_001179498.1	121.0	130.0	171.0	134.0	140.0	144.0
NM_001179499.1	683.0	746.0	1021.0	928.0	859.0	1466.0
NM_001179500.1	176.0	144.0	278.0	221.0	254.0	423.0
NM_001179501.1	391.0	448.0	523.0	549.0	465.0	891.0
NM_001179502.3	484.0	588.0	591.0	598.0	643.0	971.0
NM_001179503.1	288.0	343.0	381.0	540.0	527.0	744.0
NM_001179504.1	364.0	325.0	524.0	529.0	421.0	664.0
NM_001184521.1	253.0	230.0	413.0	299.0	309.0	538.0
NM_001179505.1	400.0	383.0	561.0	464.0	540.0	879.0
NM_001179506.3	345.0	339.0	490.0	345.0	395.0	788.0
NM_001179507.1	207.0	211.0	417.0	334.0	296.0	511.0
NM_001179508.1	93.0	103.0	111.0	114.0	109.0	172.0
NM_001179509.1	122.0	111.0	209.0	106.0	154.0	273.0
NM_001179510.1	641.0	742.0	947.0	738.0	650.0	951.0
NM_001270749.1	53.0	61.0	66.0	67.0	63.0	110.0
NM_001179512.1	123.0	185.0	159.0	158.0	183.52	243.0
NM_001179513.1	77.0	109.0	117.0	122.0	101.48	178.0
NM_001179514.1	154.0	137.0	198.0	133.0	144.0	227.0
SDL1	105.0	88.0	141.0	96.0	127.0	232.0
NM_001179517.1	804.98	752.98	1263.06	976.22	932.66	1216.32
HXT12	39.78	45.4	93.85	72.06	80.34	95.53
YIL171W	12.7	11.68	8.15	23.97	18.07	41.39
NM_001179518.1	35.31	34.2	39.14	41.9	34.2	53.52
NM_001179519.1	274.31	239.38	489.04	310.96	370.67	575.53
YIL174W	0.0	1.0	0.0	0.0	0.0	3.0
YIL175W	15.34	7.19	15.47	21.77	10.19	12.19
NM_001179521.1	1.12	1.58	0.0	1.64	1.0	2.5
NM_001179522.1	151.07	192.84	227.28	217.68	198.19	331.92
NM_001179523.1	242.0	253.0	378.0	250.0	250.0	385.0
NM_001179524.1	396.0	327.0	771.0	416.0	535.0	1086.0
NM_001179525.3	525.0	637.0	740.0	749.0	646.0	934.0
NM_001179526.1	490.0	438.0	808.0	435.0	668.0	1057.0
NM_001179527.1	73.0	57.0	113.0	94.0	108.0	168.0
