transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001180781.3	13.95	7.22	15.62	10.99	14.27	18.73
NM_001180783.1	19.71	20.52	18.95	20.73	19.97	18.57
NM_001180784.1	93.05	97.88	78.11	106.79	82.22	93.05
NM_001180785.3	62.04	55.83	57.86	72.7	71.74	53.43
NM_001180786.3	26.74	29.59	31.16	30.02	38.31	31.56
NM_001180787.1	37.14	33.18	34.19	42.56	47.1	38.86
NM_001180788.1	34.96	33.89	37.13	34.82	46.37	44.39
NM_001180789.3	135.4	128.76	119.55	116.38	106.78	78.41
NM_001180790.3	44.79	41.12	42.11	32.96	43.27	42.18
NM_001180791.1	261.07	258.48	256.83	262.51	224.0	204.07
NM_001180792.1	21.63	15.76	25.22	22.88	28.86	26.66
NM_001180793.3	14.65	12.62	18.5	13.92	20.21	21.32
NM_001180794.3	46.57	34.16	56.57	41.8	55.32	56.59
NM_001180795.1	281.93	247.41	300.43	318.32	319.69	376.03
NM_001180796.1	15.73	19.16	18.08	19.14	13.82	14.44
NM_001180797.3	28.62	29.41	33.27	40.48	35.13	32.12
NM_001180798.3	29.32	24.71	23.06	30.34	28.64	21.31
NM_001180800.1	74.19	65.05	64.68	83.27	76.83	77.0
NM_001180801.1	47.96	43.66	50.43	43.59	50.62	61.4
NM_001180802.3	46.14	33.49	53.16	35.91	48.89	47.01
NM_001180803.3	9.02	9.44	13.56	10.6	14.96	15.08
NM_001180804.1	85.28	62.38	98.11	76.65	103.8	116.78
NM_001180805.1	238.8	233.21	195.56	260.67	273.77	216.51
NM_001180806.3	49.32	44.99	45.99	43.06	43.74	39.07
NM_001180807.3	16.41	13.82	19.07	15.82	22.61	20.95
NM_001180808.1	3310.36	3291.29	3309.33	3310.86	3159.24	3804.39
NM_001180809.1	14.16	15.26	14.49	14.09	15.41	9.88
NM_001180810.3	191.16	195.56	185.29	151.98	151.13	144.63
NM_001180811.3	39.21	40.31	33.1	38.93	47.74	45.73
NM_001180812.1	14.54	23.94	15.54	17.96	29.2	31.93
NM_001180813.2	16.8	13.75	14.6	15.76	18.13	14.93
NM_001180814.3	9.06	10.61	8.13	10.0	9.73	8.95
NM_001180815.3	29.81	27.1	36.39	29.95	36.34	29.77
NM_001180816.1	251.59	261.66	234.46	229.04	229.81	185.93
NM_001180818.1	444.01	461.18	548.98	454.63	411.87	555.88
NM_001180819.3	53.76	49.08	46.09	45.07	44.51	55.36
NM_001180820.3	48.33	46.51	51.56	57.18	67.81	68.05
NM_001180821.1	209.35	218.46	228.44	245.41	270.09	289.58
NM_001180822.1	22.95	24.33	24.63	22.57	36.49	26.97
NM_001180823.3	15.9	8.04	19.33	15.16	23.79	27.41
NM_001180824.3	61.8	63.34	58.21	66.63	60.87	60.03
NM_001180825.1	110.17	105.83	111.44	121.37	112.76	120.71
NM_001180826.1	66.71	59.74	65.51	56.94	56.96	50.01
NM_001180827.3	211.02	199.25	181.07	184.59	200.43	189.88
NM_001180828.3	24.9	22.78	21.84	27.89	32.48	24.52
NM_001180830.1	4.09	4.92	5.62	4.58	7.62	6.22
NM_001180831.1	0.8	1.28	1.0	2.02	1.19	1.07
NM_001180832.3	33.76	29.07	32.57	37.26	41.39	36.91
NM_001184631.1	12267.82	14884.89	8918.88	9653.68	10992.21	10222.72
NM_001184632.3	7145.73	7851.88	6644.75	6966.76	8376.85	7721.38
NM_001348819.1	0.39	2.23	2.45	3.52	6.65	0.85
NM_001184329.1	49.49	54.51	46.25	44.02	58.69	40.81
NM_001180835.4	55.41	48.45	60.98	58.65	70.09	58.42
NM_001180836.3	34.1	32.09	34.24	50.45	54.66	47.34
NM_001180837.1	159.26	147.85	158.69	150.2	172.44	165.81
NM_001180838.1	42.23	35.74	37.75	40.07	35.77	33.99
NM_001180839.3	118.29	103.85	117.18	146.7	166.22	138.5
NM_001180840.3	14.02	8.56	19.14	12.94	15.72	19.0
