name	wt_ribo_YPD1_cds_rpf	wt_ribo_YPD2_cds_rpf	wt_ribo_YPD3_cds_rpf	ncs2d_ribo_YPD1_cds_rpf	ncs2d_ribo_YPD2_cds_rpf	ncs2d_ribo_YPD3_cds_rpf	elp6d_ribo_YPD1_cds_rpf	elp6d_ribo_YPD2_cds_rpf	elp6d_ribo_YPD3_cds_rpf	ncs2d_elp6d_ribo_YPD1_cds_rpf	ncs2d_elp6d_ribo_YPD2_cds_rpf	ncs2d_elp6d_ribo_YPD3_cds_rpf
NM_001183244.1	4723	6098	3046	6499	5194	2900	5310	4070	3613	6094	4928	8186
NM_001183245.1	2	0	1	0	0	0	1	0	0	0	0	0
NM_001183246.3	6	2	6	9	11	3	9	4	5	14	13	24
NM_001183247.4	6	14	4	13	9	4	15	7	10	12	17	34
NM_001183248.1	5	2	1	8	1	2	2	0	0	11	11	11
NM_001183249.1	0	1	0	0	0	0	1	0	2	1	1	1
NM_001183250.3	25	19	23	38	38	26	41	27	20	82	68	84
NM_001183251.1	288	352	235	673	574	326	458	321	305	620	571	758
NM_001183252.1	100	131	85	104	92	54	106	66	72	92	90	130
NM_001183253.3	0	0	0	1	0	0	0	0	0	2	0	2
NM_001183255.1	60	78	34	65	61	29	51	35	44	65	71	84
NM_001183256.1	546	740	399	986	957	508	959	688	577	1249	1075	1485
NM_001183257.1	265	355	178	340	316	159	362	285	224	340	355	485
NM_001183258.1	3028	3950	1708	4429	3327	1941	2988	2335	2278	4337	3500	5797
NM_001183259.1	885	1050	561	1093	982	525	952	697	777	1235	1065	1492
NM_001183260.1	1171	1595	830	1319	1003	579	912	626	654	955	831	1149
NM_001183261.1	612	825	475	792	706	348	553	520	387	809	731	1018
NM_001183262.1	243	280	157	314	270	166	241	200	179	331	301	372
NM_001183263.1	55	75	49	90	79	32	79	47	44	114	83	134
NM_001183264.1	626	803	495	904	894	461	702	521	507	881	762	1038
NM_001183265.1	406	573	257	636	580	347	396	315	323	554	518	811
NM_001183266.1	824	1001	531	767	726	378	602	459	514	638	572	732
NM_001183267.1	241	330	176	324	277	168	267	233	201	330	294	435
NM_001183268.1	12	2	4	3	11	2	7	4	7	8	8	6
NM_001183269.1	2	5	0	1	4	2	2	0	2	2	4	0
NM_001183270.1	362	503	277	657	550	296	460	343	325	737	619	947
NM_001183271.1	201	251	157	315	276	159	224	188	210	290	317	431
NM_001183272.1	344	438	255	462	414	226	300	208	250	487	376	558
NM_001183273.1	522	698	418	674	574	333	566	471	403	768	679	990
NM_001183274.1	741	907	509	812	718	426	704	513	507	677	656	918
NM_001183275.1	2171	2633	1520	3174	2756	1535	2479	1949	1942	3071	2662	3979
NM_001183276.2	1177	1379	707	1334	1276	650	986	733	735	1172	1057	1352
NM_001183277.1	119	135	92	151	124	72	117	72	77	117	108	160
NM_001183278.1	0	1	0	2	0	0	0	1	0	2	3	3
NM_001183279.1	167	200	106	215	201	93	197	147	154	207	187	293
NM_001183280.1	397	461	297	511	490	311	469	344	336	560	561	768
NM_001183281.1	1177	1627	787	1972	1714	1005	1422	963	1037	1801	1540	2239
NM_001183282.1	218	256	130	320	220	142	202	147	163	258	238	310
NM_001183283.1	2	0	1	2	1	0	1	1	1	5	7	3
NM_001183284.1	3574	4558	2315	5136	4545	2457	3981	3122	3008	4970	4331	6237
