name	wt_ribo_YPD1_cds_rpkm	wt_ribo_YPD2_cds_rpkm	wt_ribo_YPD3_cds_rpkm	ncs2d_ribo_YPD1_cds_rpkm	ncs2d_ribo_YPD2_cds_rpkm	ncs2d_ribo_YPD3_cds_rpkm	elp6d_ribo_YPD1_cds_rpkm	elp6d_ribo_YPD2_cds_rpkm	elp6d_ribo_YPD3_cds_rpkm	ncs2d_elp6d_ribo_YPD1_cds_rpkm	ncs2d_elp6d_ribo_YPD2_cds_rpkm	ncs2d_elp6d_ribo_YPD3_cds_rpkm
NM_001180372.3	4182.96	6230.06	3252.42	4128.5	4358.69	1407.65	2727.11	2294.31	4221.44	3363.26	2444.32	6634.65
NM_001180373.3	3.79	6.42	3.2	4.05	4.37	1.7	3.42	2.61	4.09	4.35	3.15	8.77
NM_001180374.1	4.15	8.51	6.05	5.61	4.84	2.29	4.13	4.49	7.56	5.18	4.15	12.09
NM_001180375.1	10.72	18.15	10.91	12.49	13.1	4.23	9.41	7.28	12.16	13.48	9.51	25.33
NM_001180376.3	19.66	35.54	18.44	24.6	23.58	9.07	15.04	13.72	20.75	24.0	17.79	50.97
NM_001180377.3	5.62	8.65	5.03	6.93	6.26	2.38	4.2	3.84	6.03	7.39	4.51	12.15
NM_001180378.1	1.48	1.07	1.11	3.61	2.63	1.38	1.29	2.9	1.07	7.67	4.61	8.91
NM_001180379.1	181.33	296.03	176.95	270.09	262.41	90.12	159.61	141.92	221.17	248.44	176.75	454.05
NM_001180380.3	23.92	33.53	20.99	32.15	30.3	12.94	21.73	18.26	28.5	30.85	22.51	63.27
NM_001180381.3	11.55	19.96	15.0	15.5	14.12	5.17	14.14	12.95	19.35	17.48	13.84	41.13
NM_001180382.1	26.22	47.45	23.41	45.01	41.23	15.38	31.84	27.37	45.73	63.94	43.91	132.72
NM_001180383.1	16.53	23.94	12.42	17.75	19.33	6.37	16.33	10.34	20.97	18.45	14.34	36.19
NM_001180384.3	1.67	3.47	2.72	2.2	2.24	0.92	2.34	1.31	3.42	2.59	1.97	4.76
NM_001180385.3	1071.41	1903.64	827.94	1458.83	1567.12	641.16	1107.97	1095.5	1690.04	2466.01	1720.27	4870.87
NM_001180386.1	3.38	5.58	1.86	2.56	2.31	0.91	2.11	1.76	3.74	1.9	1.6	4.97
NM_001180387.1	19.75	30.75	20.45	21.81	25.44	9.03	17.79	9.88	20.95	21.24	22.65	48.3
NM_001180388.3	8.87	15.76	7.77	13.15	11.69	4.41	7.88	6.0	10.77	12.18	9.49	24.84
NM_001180389.1	9.22	13.98	7.57	12.22	11.29	4.53	9.37	7.51	11.92	15.19	9.99	29.46
NM_001180390.1	0.4	0.8	0.59	0.86	0.73	0.28	0.71	0.42	0.59	0.73	0.58	1.7
NM_001180391.3	36.41	69.09	37.81	43.65	43.16	16.63	30.92	24.59	44.22	40.85	30.63	81.77
NM_001180392.3	44.92	77.56	43.8	52.71	54.92	19.54	41.17	32.43	55.8	52.91	43.3	102.97
NM_001180393.1	1.43	3.11	1.02	1.8	1.67	0.67	1.26	1.31	1.66	2.06	2.13	4.97
NM_001180394.1	456.17	717.86	388.4	469.2	484.3	154.14	292.88	256.52	443.48	379.35	267.17	710.04
NM_001180395.3	62.4	100.15	60.75	82.96	84.15	31.34	54.5	50.7	83.34	90.52	65.12	163.23
NM_001180396.3	9.21	15.56	7.57	13.96	12.29	5.53	8.23	7.17	10.48	16.21	10.92	29.75
NM_001180397.1	15.38	24.93	13.49	13.9	15.31	4.74	10.34	8.7	15.36	13.5	9.44	22.95
NM_001180398.1	13.37	22.98	12.88	15.5	15.76	6.14	11.84	11.22	19.55	18.66	13.62	37.25
NM_001180399.3	112.21	186.18	99.75	108.87	112.19	42.27	90.81	76.92	135.71	112.71	79.52	213.18
NM_001180400.3	114.34	153.1	97.86	128.94	119.91	52.64	97.45	88.07	159.45	162.74	112.77	296.22
NM_001180401.1	13.13	22.36	12.87	11.79	10.13	4.69	7.25	6.04	10.5	9.02	6.68	19.02
NM_001180404.1	7.36	12.8	5.76	9.24	8.49	2.65	6.45	5.4	8.47	10.52	6.4	18.96
NM_001180405.3	18.22	31.95	17.16	23.96	24.53	8.65	16.41	15.36	26.37	27.54	20.32	51.15
NM_001180406.4	151.33	237.14	124.65	159.76	155.64	47.49	80.99	68.37	114.38	109.3	80.34	221.01
NM_001180407.3	412.6	666.67	354.21	508.58	494.08	176.51	293.45	252.47	449.31	490.68	349.76	927.91
NM_001180408.3	59.34	99.45	51.07	78.03	87.52	27.25	65.52	54.17	89.5	91.34	61.47	169.27
NM_001180409.1	74.06	112.58	67.26	69.92	71.66	29.18	49.54	43.62	74.34	66.21	46.84	125.39
NM_001180411.1	11.16	17.91	10.17	14.78	15.16	5.24	11.89	9.35	14.74	14.22	10.27	31.34
NM_001180412.3	1.3	2.4	1.57	1.61	2.0	0.55	1.32	1.03	1.42	1.9	1.23	3.28
NM_001180413.3	16.55	28.73	17.62	23.84	24.12	9.79	19.14	16.38	27.31	31.59	24.12	63.96
NM_001180414.1	1.11	1.83	0.99	1.73	1.78	0.34	0.96	0.97	1.79	1.81	1.03	3.7
NM_001180415.1	11.42	18.59	11.54	13.91	15.27	5.5	13.22	9.67	16.58	16.05	12.9	35.54
NM_001180416.3	5.74	10.14	5.96	7.44	7.83	3.19	6.55	6.22	9.04	11.3	8.65	24.21
NM_001180417.3	5.04	5.98	4.22	6.44	6.27	2.39	4.35	3.41	6.07	6.06	5.1	13.19
NM_001180418.1	12.59	18.55	13.71	14.68	14.8	6.07	11.23	9.79	17.03	15.48	13.18	29.94
NM_001180419.1	12.68	18.32	10.56	9.88	8.78	3.9	7.06	6.6	11.45	10.72	8.85	25.43
NM_001180421.3	16.85	29.55	14.92	16.53	14.52	4.96	10.54	10.06	18.28	13.91	9.53	27.07
NM_001180422.3	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180423.1	53.87	68.09	41.04	48.96	53.61	19.76	29.83	28.57	46.79	39.96	27.19	74.11
NM_001180424.1	25.19	38.68	23.17	28.17	25.38	11.01	16.55	15.49	30.19	25.32	18.07	44.71
NM_001180425.3	26.37	43.14	24.45	31.05	30.77	11.02	16.68	14.17	25.98	22.88	16.56	46.17
NM_001180426.3	4.51	7.08	3.52	5.45	5.24	2.53	4.17	3.9	6.23	5.6	3.8	11.53
NM_001180427.1	52.71	87.3	45.43	72.49	69.87	23.93	50.09	43.76	76.49	62.18	46.6	129.83
NM_001180428.3	49.24	78.39	51.86	61.51	59.59	23.5	43.79	37.3	65.45	62.41	47.29	127.98
NM_001180429.3	32.58	45.14	26.16	37.45	35.62	13.83	24.83	22.07	39.07	43.52	32.68	87.5
NM_001180430.1	12.75	23.32	10.37	14.8	12.99	5.23	9.63	7.96	13.16	13.56	9.73	27.61
NM_001180431.1	8.31	10.69	5.98	6.38	7.1	3.1	5.15	4.42	8.6	8.41	4.67	15.02
NM_001180432.3	0.22	0.35	0.44	0.14	0.33	0.04	0.21	0.0	0.18	0.21	0.09	0.49
NM_001180433.3	2.1	1.64	1.54	1.28	1.66	0.83	1.21	0.91	2.18	1.77	1.65	4.11
NM_001180434.1	2.68	5.11	3.04	2.17	3.47	1.39	1.77	2.31	3.32	3.0	2.86	5.53
NM_001180435.1	81.79	126.02	73.27	89.84	86.48	34.91	101.75	84.12	150.88	110.57	82.76	224.9
NM_001180436.3	5.08	7.38	5.09	6.09	5.62	2.39	4.5	4.07	7.56	8.03	5.51	17.5
NM_001180437.3	182.63	296.66	154.22	315.71	288.23	114.68	193.21	171.78	293.29	339.46	247.31	670.19
NM_001180438.1	11.18	18.85	13.02	16.03	13.53	4.54	7.95	6.67	11.79	14.82	11.12	25.95
NM_001180439.1	3.87	4.47	2.19	3.93	4.26	1.68	4.12	2.95	4.9	5.2	4.35	11.83
NM_001180440.3	4.62	7.25	4.99	5.13	4.65	1.88	4.04	3.42	5.77	6.26	3.41	8.75
NM_001180442.3	36.77	61.97	37.55	56.12	51.65	22.63	44.88	38.55	61.01	65.74	47.63	135.97
NM_001180444.1	7.92	10.48	6.01	9.16	7.38	2.55	6.03	5.53	10.0	9.34	7.56	17.57
NM_001180445.1	9.41	15.6	9.66	12.38	11.72	4.68	9.42	7.9	13.8	13.14	9.99	28.98
NM_001180446.3	57.59	93.01	56.89	89.13	89.41	26.07	52.43	46.17	74.42	83.62	60.41	168.98
NM_001180447.3	17.2	29.33	18.14	24.13	20.93	9.1	14.68	11.6	24.11	28.26	19.37	49.78
NM_001180448.1	11.81	20.6	10.68	14.9	14.03	5.64	11.31	9.96	16.23	16.36	11.11	33.84
NM_001180449.1	4.55	7.12	4.91	5.9	6.16	2.35	5.04	3.84	5.45	7.03	5.58	15.39
NM_001180450.3	18.07	27.19	14.11	20.67	19.92	8.54	11.66	9.94	18.4	20.74	14.43	40.55
NM_001180451.3	51.15	80.6	43.79	43.0	40.9	16.76	30.79	27.57	49.65	35.16	23.77	70.83
NM_001180452.1	33.15	56.21	26.4	35.54	33.84	13.43	18.59	17.57	30.98	32.33	21.49	57.28
NM_001180453.1	24.53	42.05	20.49	30.49	26.99	10.97	19.16	16.92	29.56	30.91	21.86	66.59
NM_001180454.3	9.83	17.74	10.23	13.13	12.71	4.56	9.47	8.39	13.91	16.79	11.15	30.3
NM_001180455.3	74.97	126.8	53.58	97.71	98.85	35.39	59.54	53.77	91.67	97.61	68.48	190.14
