transcript_id	SRR1944912.isoforms.results	SRR1944913.isoforms.results	SRR1944914.isoforms.results	SRR1944915.isoforms.results	SRR1944916.isoforms.results	SRR1944917.isoforms.results
NM_001178637.4	544.26	702.03	380.5	745.83	605.66	369.38
NM_001178638.1	450.0	599.0	342.0	762.0	640.0	337.0
NM_001178639.1	279.0	299.0	148.0	410.0	364.0	189.0
NM_001348892.1	5.0	0.0	0.0	1.0	0.0	1.0
NM_001178641.3	72.0	84.0	50.0	125.0	114.0	58.0
NM_001178642.3	4.0	6.0	3.0	16.0	10.0	3.0
NM_001178643.2	115.0	109.0	85.0	225.0	152.0	91.0
NM_001178644.1	205.0	242.0	100.0	113.0	87.0	21.0
NM_001184587.3	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178645.3	66.91	129.28	63.43	119.66	106.37	69.12
NM_001178646.1	1.0	0.0	1.0	1.0	0.0	2.0
NM_001184588.1	1.0	2.0	0.0	1.0	0.0	0.0
NM_001178647.3	0.0	34.5	8.33	22.27	14.42	9.75
NM_001178649.3	0.5	4.0	4.0	2.0	4.0	4.0
NM_001178650.1	149.0	156.27	86.6	197.12	155.83	90.42
NM_001178651.1	1157.0	1536.0	895.0	1819.0	1485.0	878.0
NM_001184314.1	0.0	0.0	0.0	0.0	1.0	1.0
NM_001184462.1	0.0	1.0	0.0	5.0	1.0	1.0
NM_001178652.2	157.0	217.0	113.0	189.0	172.0	81.0
NM_001178653.1	61.0	59.0	59.0	112.0	102.0	71.0
NM_001178654.1	157.0	191.0	103.0	225.0	225.0	123.0
NM_001184518.1	1793.0	2168.0	1215.0	2480.0	2207.0	1204.0
NM_001178657.1	322.0	389.0	216.0	438.0	387.0	248.0
NM_001178658.1	4734.0	5597.0	3174.0	6479.0	6273.0	3819.0
NM_001178659.1	358.0	403.0	234.0	439.0	408.0	277.0
NM_001178660.1	2000.0	2318.0	1442.0	3255.0	2923.0	1553.0
NM_001184672.1	225.0	238.0	146.0	267.0	280.0	139.0
NM_001178662.1	989.0	1333.0	608.0	1448.0	1152.0	695.0
NM_001178663.1	223.0	226.0	137.0	247.0	248.0	147.0
NM_001178664.1	2484.0	2963.0	1583.0	3498.0	3366.0	1758.0
NM_001178665.1	0.0	0.0	0.0	1.0	0.0	0.0
NM_001178666.2	0.0	3.67	3.6	0.0	0.0	0.0
NM_001178667.1	19.97	13.65	2.01	3.07	9.3	0.07
