gene_id	SRR1944912.genes.results	SRR1944913.genes.results	SRR1944914.genes.results	SRR1944915.genes.results	SRR1944916.genes.results	SRR1944917.genes.results
YNL263C	79.85	80.63	75.72	92.44	94.92	91.24
YNL264C	35.66	36.37	39.26	45.57	45.9	45.5
YNL265C	23.32	26.86	32.64	25.64	29.57	29.49
YNL267W	11.43	12.47	12.9	12.55	13.07	12.44
YNL268W	105.79	103.81	104.95	121.15	110.38	113.8
YNL269W	0.14	0.24	0.45	0.12	0.0	0.48
YNL270C	0.43	0.27	0.56	0.61	0.36	0.96
YNL271C	10.59	11.6	11.23	12.81	10.68	11.55
YNL272C	11.12	12.71	13.89	13.84	11.68	11.7
YNL273W	5.84	6.68	6.65	6.44	6.55	6.42
YNL274C	14.11	13.33	11.41	19.13	18.45	17.61
YNL275W	7.03	8.41	6.63	8.98	8.76	9.04
YNL277W	5.0	6.05	5.14	2.76	3.21	3.08
YNL277W-A	0.0	0.0	1.31	0.68	0.77	1.86
YNL278W	9.46	10.92	9.84	9.11	8.52	9.27
YNL279W	0.52	0.84	1.14	2.64	1.9	2.43
YNL280C	61.65	65.73	69.81	67.49	63.66	72.63
YNL281W	326.96	324.83	341.23	321.04	306.51	292.61
YNL282W	21.32	16.09	16.42	18.01	16.67	18.82
YNL283C	21.9	20.84	19.19	16.63	19.68	14.16
YNL284C	34.65	44.12	39.11	40.82	41.93	34.82
YNL284C-A	6.98	7.26	6.76	8.26	9.33	6.17
YNL284C-B	1.06	1.25	1.83	0.97	0.84	1.61
YNL286W	10.75	13.41	14.02	16.55	11.09	10.68
YNL287W	118.61	129.53	120.25	157.27	155.19	149.56
YNL288W	36.47	38.22	40.81	34.18	35.33	37.81
YNL289W	36.17	33.48	43.14	43.58	42.77	47.49
YNL290W	45.1	45.24	47.38	57.45	56.57	63.85
YNL291C	15.36	15.84	15.93	13.55	14.27	11.74
YNL292W	44.84	44.05	44.95	34.29	34.09	36.96
YNL293W	8.68	8.57	8.43	8.54	8.28	7.87
YNL294C	3.55	3.82	4.4	4.52	4.0	4.19
YNL295W	7.52	8.71	9.25	9.82	11.26	9.03
YNL297C	13.25	14.01	13.14	15.79	15.21	15.65
YNL298W	14.55	15.44	15.23	18.32	18.15	17.86
YNL299W	9.59	9.9	12.76	10.02	12.91	13.49
YNL300W	358.24	389.36	449.06	327.9	405.17	456.33
YNL301C	518.02	492.19	575.1	410.2	405.07	443.48
YNL302C	3790.22	3793.8	3696.63	3768.14	3751.38	3430.34
YNL304W	9.6	11.53	10.22	9.3	11.31	9.61
YNL305C	36.59	33.92	41.14	45.16	50.87	59.73
YNL306W	74.89	78.13	91.54	94.63	91.83	105.6
YNL307C	102.4	102.41	99.65	108.77	105.31	99.37
YNL308C	82.02	86.27	82.19	81.54	75.61	75.01
YNL309W	19.01	17.23	16.66	16.61	15.89	16.88
YNL310C	48.35	56.06	51.57	47.32	48.87	42.65
YNL311C	7.48	6.13	7.14	6.81	7.37	6.99
YNL312W	93.46	98.98	90.47	122.78	119.79	107.89
YNL313C	33.07	33.38	35.0	38.26	35.88	37.5
YNL314W	7.49	8.53	6.96	7.1	8.82	8.95
YNL315C	36.13	32.02	41.52	35.62	36.9	40.41
YNL316C	21.78	19.78	16.84	23.6	22.95	21.98
YNL317W	13.29	13.76	13.01	14.62	13.41	13.64
YNL318C	0.04	0.06	0.0	0.0	0.07	0.06
YNL320W	21.57	23.65	22.72	23.23	24.04	25.13
YNL321W	15.2	16.26	15.29	14.31	13.99	15.8
YNL322C	171.72	185.31	170.72	180.7	182.67	174.23
YNL323W	51.75	55.37	51.82	70.04	66.9	65.45
YNL325C	4.66	4.4	5.2	5.39	5.59	5.88
YNL326C	9.47	9.95	10.49	10.46	10.55	10.0
YNL327W	160.99	190.35	157.39	178.48	169.14	172.12
YNL328C	9.67	7.11	7.93	7.45	7.53	6.28
YNL329C	4.66	4.92	6.1	5.21	5.46	5.91
YNL330C	38.39	38.25	39.54	46.7	47.64	48.33
YNL331C	0.95	0.88	0.61	1.9	2.29	3.16
YNL332W	0.0	0.24	0.04	0.63	0.54	0.63
YNL333W	1.9	4.32	3.67	4.18	4.16	8.0
YNL334C	5.02	2.6	0.82	4.09	3.78	1.09
YNL335W	0.04	0.15	0.07	0.42	0.0	0.14
YNL336W	2.23	3.92	1.73	4.12	4.39	2.55
YNL339C	0.01	0.02	0.02	0.03	0.02	0.02
YNR001C	69.91	80.37	71.21	136.62	137.89	121.65
YNR002C	0.35	0.59	0.0	0.4	0.7	0.7
YNR003C	50.95	55.53	50.02	36.7	37.87	35.66
YNR004W	7.05	11.81	9.75	8.62	7.88	5.85
YNR006W	23.3	23.47	20.63	26.53	25.65	22.62
YNR007C	8.76	9.69	10.54	12.24	10.41	10.17
YNR008W	28.88	30.06	31.69	28.6	30.14	31.02
YNR009W	27.95	30.26	29.83	25.97	25.26	26.03
YNR010W	26.28	29.83	32.3	29.75	36.46	27.85
YNR011C	9.56	10.76	10.98	12.96	9.9	10.85
YNR012W	24.79	24.31	24.75	26.2	26.91	24.04
YNR013C	41.99	40.51	44.27	37.63	40.3	37.72
YNR014W	4.69	7.63	5.01	8.02	8.41	8.08
YNR015W	26.41	29.24	28.45	30.01	34.68	32.63
YNR016C	271.85	292.32	250.63	264.88	243.74	267.71
YNR017W	154.41	135.36	127.93	146.47	147.52	140.99
YNR018W	121.92	137.35	141.37	143.59	140.75	159.62
YNR019W	41.17	44.63	43.27	62.78	57.17	61.34
YNR020C	14.17	12.6	12.83	15.41	14.36	17.18
YNR021W	156.71	168.28	169.52	164.23	157.65	154.37
YNR022C	60.57	58.82	68.49	61.68	66.39	68.02
YNR023W	12.17	12.51	12.61	13.45	13.73	15.15
YNR024W	24.37	26.33	29.32	27.57	26.66	31.25
YNR026C	35.88	37.38	34.04	33.41	33.99	33.3
YNR027W	13.77	13.99	14.11	15.09	14.47	18.25
YNR028W	34.11	41.75	39.62	28.25	30.82	28.89
YNR029C	21.33	24.42	26.33	30.63	30.03	27.82
YNR030W	42.61	42.79	50.27	38.63	40.71	43.75
YNR031C	7.92	8.11	8.63	9.03	8.87	8.77
YNR032C-A	91.18	90.78	86.92	115.94	115.78	114.61
YNR032W	10.19	10.34	12.8	13.01	14.46	12.83
YNR033W	17.4	19.78	22.48	24.8	23.92	28.17
YNR034W	24.61	25.62	26.34	32.23	32.16	29.4
YNR034W-A	4.89	3.15	4.1	5.51	4.82	3.12
YNR035C	127.9	124.78	134.55	156.3	164.54	176.58
YNR036C	111.95	115.99	112.84	144.73	135.87	175.03
YNR037C	75.33	78.01	88.17	80.81	90.6	102.05
YNR038W	35.37	36.48	31.57	50.1	44.96	49.94
YNR039C	12.54	14.54	13.22	15.69	13.38	14.35
YNR040W	17.37	15.44	20.08	16.9	17.64	19.61
YNR041C	22.36	25.22	25.42	30.43	32.39	32.85
YNR043W	210.74	207.69	209.72	268.24	265.51	256.5
YNR044W	24.31	30.93	27.93	36.09	40.96	52.9
YNR045W	4.15	4.02	4.02	3.58	4.77	3.74
YNR046W	217.31	194.21	198.85	202.58	238.54	251.36
YNR047W	15.34	16.87	13.67	15.41	15.8	15.84
YNR048W	8.28	7.74	11.06	10.26	9.76	11.53
YNR049C	29.44	26.58	26.71	30.78	29.03	26.31
YNR050C	177.19	174.86	167.85	200.45	180.99	204.4
YNR051C	37.41	37.81	34.77	36.85	33.11	34.13
YNR052C	47.5	47.7	47.18	55.26	47.99	55.68
YNR053C	86.32	87.58	98.78	110.81	108.42	110.29
YNR054C	52.24	55.18	52.22	51.23	45.22	40.35
YNR055C	20.26	21.71	21.92	18.77	18.2	16.92
YNR056C	0.14	0.09	0.06	0.03	0.0	0.12
YNR057C	2.48	2.56	3.22	2.49	4.16	3.98
YNR058W	0.13	0.35	0.33	0.44	0.73	0.48
YNR059W	1.56	1.95	1.73	1.78	1.97	2.07
YNR060W	7.6	5.23	6.78	2.52	2.37	2.05
YNR061C	69.69	81.26	69.79	84.8	90.87	79.4
YNR062C	0.0	0.51	0.47	0.4	0.5	0.8
YNR063W	2.29	4.48	3.67	3.98	4.25	3.85
YNR064C	0.82	0.57	0.53	1.28	1.25	1.81
YNR065C	0.07	0.0	0.04	0.02	0.03	0.04
YNR066C	2.34	2.15	1.86	2.62	2.98	1.98
YNR067C	90.81	97.17	92.5	102.42	93.09	93.18
YNR068C	0.22	0.06	0.11	0.06	0.07	0.24
YNR069C	0.33	0.1	0.64	0.43	0.56	0.2
YNR070W	0.24	0.33	0.26	0.34	0.2	0.2
YNR071C	0.58	0.63	1.36	0.95	0.64	0.58
YNR072W	0.0	0.04	0.06	0.0	0.11	0.0
YNR073C	0.98	0.45	1.68	1.2	1.5	1.49
YNR074C	17.79	18.07	21.91	33.79	31.89	33.31
YNR075C-A	0.0	0.0	0.0	0.0	0.0	0.0
YNR075W	6.24	6.7	7.54	5.3	5.41	6.18
YNR076W	0.0	0.0	0.0	0.04	0.0	0.0
YNR077C	0.0	0.0	0.0	0.0	0.0	0.0
YOL001W	5.13	5.82	4.62	4.84	4.81	3.69
YOL002C	37.68	42.18	43.21	54.64	60.24	57.13
