Sample	Length	Site	End	Offset	Count
elp6d_ribo_YPD1	29	TTS	5p-end	-20	245
elp6d_ribo_YPD1	30	TTS	5p-end	-20	1038
elp6d_ribo_YPD1	31	TTS	5p-end	-20	2784
elp6d_ribo_YPD1	32	TTS	5p-end	-20	6036
elp6d_ribo_YPD1	33	TTS	5p-end	-20	5735
elp6d_ribo_YPD1	27	TTS	5p-end	-19	28
elp6d_ribo_YPD1	28	TTS	5p-end	-19	85
elp6d_ribo_YPD1	29	TTS	5p-end	-19	597
elp6d_ribo_YPD1	30	TTS	5p-end	-19	2796
elp6d_ribo_YPD1	31	TTS	5p-end	-19	7642
elp6d_ribo_YPD1	32	TTS	5p-end	-19	10184
elp6d_ribo_YPD1	33	TTS	5p-end	-19	906
elp6d_ribo_YPD1	27	TTS	5p-end	-18	104
elp6d_ribo_YPD1	28	TTS	5p-end	-18	195
elp6d_ribo_YPD1	29	TTS	5p-end	-18	1026
elp6d_ribo_YPD1	30	TTS	5p-end	-18	3845
elp6d_ribo_YPD1	31	TTS	5p-end	-18	6566
elp6d_ribo_YPD1	32	TTS	5p-end	-18	2093
elp6d_ribo_YPD1	33	TTS	5p-end	-18	981
elp6d_ribo_YPD1	27	TTS	5p-end	-17	38
elp6d_ribo_YPD1	28	TTS	5p-end	-17	58
elp6d_ribo_YPD1	29	TTS	5p-end	-17	273
elp6d_ribo_YPD1	30	TTS	5p-end	-17	1016
elp6d_ribo_YPD1	31	TTS	5p-end	-17	3182
elp6d_ribo_YPD1	32	TTS	5p-end	-17	5749
elp6d_ribo_YPD1	33	TTS	5p-end	-17	4131
elp6d_ribo_YPD1	27	TTS	5p-end	-16	27
elp6d_ribo_YPD1	28	TTS	5p-end	-16	72
elp6d_ribo_YPD1	29	TTS	5p-end	-16	454
elp6d_ribo_YPD1	30	TTS	5p-end	-16	3031
elp6d_ribo_YPD1	31	TTS	5p-end	-16	7682
elp6d_ribo_YPD1	32	TTS	5p-end	-16	8097
elp6d_ribo_YPD1	33	TTS	5p-end	-16	1147
elp6d_ribo_YPD1	27	TTS	5p-end	-15	58
elp6d_ribo_YPD1	28	TTS	5p-end	-15	111
elp6d_ribo_YPD1	29	TTS	5p-end	-15	958
elp6d_ribo_YPD1	30	TTS	5p-end	-15	3222
elp6d_ribo_YPD1	31	TTS	5p-end	-15	4795
elp6d_ribo_YPD1	32	TTS	5p-end	-15	1735
elp6d_ribo_YPD1	33	TTS	5p-end	-15	389
elp6d_ribo_YPD1	27	TTS	5p-end	-14	45
elp6d_ribo_YPD1	28	TTS	5p-end	-14	50
elp6d_ribo_YPD1	29	TTS	5p-end	-14	186
elp6d_ribo_YPD1	30	TTS	5p-end	-14	402
elp6d_ribo_YPD1	31	TTS	5p-end	-14	703
elp6d_ribo_YPD1	32	TTS	5p-end	-14	1965
elp6d_ribo_YPD1	33	TTS	5p-end	-14	2808
elp6d_ribo_YPD1	27	TTS	5p-end	-13	21
elp6d_ribo_YPD1	28	TTS	5p-end	-13	89
elp6d_ribo_YPD1	29	TTS	5p-end	-13	132
elp6d_ribo_YPD1	30	TTS	5p-end	-13	482
elp6d_ribo_YPD1	31	TTS	5p-end	-13	2409
elp6d_ribo_YPD1	32	TTS	5p-end	-13	6338
