transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
YPL060W-t26_1	80.0	91.0	150.0	98.0	92.0	153.0	82.0	191.0	225.0	125.0	90.0	224.0
YPL061W-t26_1	6671.0	8348.0	10540.0	10675.0	9380.0	16670.0	7710.0	20554.0	17495.0	11736.0	15589.0	27920.0
YPL063W-t26_1	1031.0	1003.0	1579.0	1174.0	929.0	1920.0	874.0	2281.0	1924.0	1225.0	1398.0	2688.0
YPL064C-t26_1	340.0	273.0	504.0	329.0	465.0	692.0	290.0	707.0	669.0	529.0	392.0	955.0
YPL065W-t26_1	168.0	142.0	323.0	145.0	204.0	371.0	197.0	453.0	419.0	257.0	198.0	601.0
YPL066W-t26_1	557.0	505.0	757.0	790.0	694.0	1109.0	586.0	1619.0	1345.0	920.0	959.0	1870.0
YPL067C-t26_1	199.0	221.0	271.0	199.0	196.0	263.0	176.0	427.0	407.0	208.0	232.0	394.0
YPL068C-t26_1	150.0	137.0	266.0	263.0	175.0	347.0	179.0	408.0	399.0	266.0	326.0	578.0
YPL069C-t26_1	264.0	222.0	364.0	255.0	321.0	565.0	214.0	662.0	519.0	383.0	333.0	675.0
YPL070W-t26_1	290.0	240.0	457.0	357.0	391.0	647.0	278.0	711.0	677.0	540.0	418.0	1073.0
YPL071C-t26_1	177.0	167.0	289.0	190.0	210.0	383.0	152.0	346.0	301.0	258.0	193.0	468.0
YPL072W-t26_1	185.0	155.0	285.0	169.0	235.0	366.0	137.0	366.0	389.0	224.0	136.0	464.0
YPL074W-t26_1	499.0	514.0	643.0	542.0	649.0	868.0	432.0	1221.0	961.0	699.0	492.0	1507.0
YPL075W-t26_1	808.0	697.0	1093.0	755.0	940.0	1351.0	579.0	1672.0	1551.0	945.0	796.0	1755.0
YPL076W-t26_1	191.0	131.0	206.0	156.0	187.0	244.0	106.0	332.0	276.0	144.0	183.0	321.0
YPL077C-t26_1	94.0	87.0	152.0	112.0	117.0	194.0	101.0	305.0	218.0	160.0	118.0	334.0
YPL078C-t26_1	1297.0	1321.0	1895.0	1359.0	1597.0	2425.0	1173.0	3191.0	2789.0	1985.0	1610.0	4227.0
YPL079W-t26_1	13260.1	12565.03	20726.55	12766.49	12319.05	26288.58	11094.89	28557.24	26193.51	12546.93	12609.95	27657.48
YPL081W-t26_1	2221.41	2271.64	3494.38	1237.19	1250.41	2478.44	1119.49	3293.57	2600.86	875.45	853.97	2028.9
YPL082C-t26_1	851.0	868.0	1296.0	1120.0	1068.0	1383.0	915.0	2415.0	1935.0	1443.0	1350.0	2635.0
YPL083C-t26_1	429.0	436.0	564.0	517.0	457.0	819.0	329.0	984.0	811.0	466.0	525.0	1012.0
