Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
R_GR_in_04d_2	27	1372139	3024	5.5198	6.434
R_GR_in_04d_2	28	2778391	4755	11.1768	10.117
R_GR_in_04d_2	29	5198036	8792	20.9105	18.7064
R_GR_in_04d_2	30	7038593	12747	28.3146	27.1213
R_GR_in_04d_2	31	5181149	10251	20.8426	21.8106
R_GR_in_04d_2	32	1599425	3654	6.4341	7.7745
R_GR_in_04d_2	33	308264	615	1.2401	1.3085
R_GR_in_04d_2	34	55233	169	0.2222	0.3596
R_GR_in_04d_2	35	6662	18	0.0268	0.0383
R_GR_in_04d_2	36	971	29	0.0039	0.0617
R_GR_in_04d_2	37	253	16	0.001	0.034
R_GR_in_04d_2	38	89	0	0.0004	0.0
R_GR_in_04d_2	39	31	0	0.0001	0.0
R_GR_in_04d_2	40	44	0	0.0002	0.0
R_GR_in_04d_2	41	2	0	0.0	0.0
R_GR_in_04d_2	43	17	0	0.0001	0.0
R_GR_in_04d_3	24	936341	2127	4.1403	4.7756
R_GR_in_04d_3	25	1239324	2699	5.48	6.0599
R_GR_in_04d_3	26	1608722	3224	7.1133	7.2386
R_GR_in_04d_3	27	2243185	5405	9.9188	12.1354
R_GR_in_04d_3	28	3428407	6973	15.1595	15.6559
R_GR_in_04d_3	29	5120002	8673	22.6393	19.4728
R_GR_in_04d_3	30	5024947	9387	22.219	21.0759
R_GR_in_04d_3	31	2382468	4682	10.5347	10.5121
R_GR_in_04d_3	32	508803	1001	2.2498	2.2475
R_GR_in_04d_3	33	105261	286	0.4654	0.6421
R_GR_in_04d_3	34	16075	72	0.0711	0.1617
R_GR_in_04d_3	35	1598	5	0.0071	0.0112
R_GR_in_04d_3	36	323	0	0.0014	0.0
R_GR_in_04d_3	37	33	3	0.0001	0.0067
R_GR_in_04d_3	38	42	0	0.0002	0.0
R_GR_in_04d_3	39	2	0	0.0	0.0
R_GR_in_04d_3	40	1	0	0.0	0.0
R_GR_in_04d_3	41	0	2	0.0	0.0045
R_GR_un_04d_1	24	90393	1135	0.4359	2.5314
R_GR_un_04d_1	25	201507	287	0.9718	0.6401
R_GR_un_04d_1	26	454613	121	2.1923	0.2699
R_GR_un_04d_1	27	1072473	2602	5.1719	5.8032
R_GR_un_04d_1	28	2309296	2618	11.1364	5.8389
R_GR_un_04d_1	29	4537460	9185	21.8815	20.4853
R_GR_un_04d_1	30	6347679	15390	30.6112	34.3243
R_GR_un_04d_1	31	4188023	10238	20.1964	22.8338
R_GR_un_04d_1	32	1166683	2566	5.6262	5.723
R_GR_un_04d_1	33	299006	694	1.4419	1.5478
R_GR_un_04d_1	34	54656	1	0.2636	0.0022
